Date,Realized_Ret,SvOLHC,SvOLHC_n10,sGARCH_norm_mu,sGARCH_norm_sigma,sGARCH_std_mu,sGARCH_std_sigma,sGARCH_std_skew,sGARCH_std_shape,sGARCH_sstd_mu,sGARCH_sstd_sigma,sGARCH_sstd_skew,sGARCH_sstd_shape,eGARCH_norm_mu,eGARCH_norm_sigma,eGARCH_std_mu,eGARCH_std_sigma,eGARCH_std_skew,eGARCH_std_shape,eGARCH_sstd_mu,eGARCH_sstd_sigma,eGARCH_sstd_skew,eGARCH_sstd_shape,gjrGARCH_norm_mu,gjrGARCH_norm_sigma,gjrGARCH_std_mu,gjrGARCH_std_sigma,gjrGARCH_std_skew,gjrGARCH_std_shape,gjrGARCH_sstd_mu,gjrGARCH_sstd_sigma,gjrGARCH_sstd_skew,gjrGARCH_sstd_shape,apARCH_norm_mu,apARCH_norm_sigma,apARCH_std_mu,apARCH_std_sigma,apARCH_std_skew,apARCH_std_shape,apARCH_sstd_mu,apARCH_sstd_sigma,apARCH_sstd_skew,apARCH_sstd_shape
5/10/2012,0.251422216,0.886769446,0.804616239,0.118255839,0.894078605,0.13367366,0.908991861,0,5.190618601,0.114705407,0.891987624,0.915262874,5.609644058,0.037005317,1.250388982,0.086468924,1.325329164,0,5.797926025,0.053556401,1.343499195,0.848871284,6.381542235,0.059315773,0.996971802,0.096207267,1.029938815,0,5.96099761,0.069933966,1.018936175,0.876739424,6.530897611,0.06544776,1.157490595,0.099138302,1.274534195,0,5.96937709,0.078099822,1.288738539,0.866659978,6.5245907
5/11/2012,-0.339310935,0.930908401,0.817642622,0.071683086,0.852519771,0.092068202,0.865454702,0,5.216696351,0.066686844,0.850715562,0.913575145,5.632203728,0.01359981,1.180999032,0.053502686,1.246456656,0,5.858948649,0.017347434,1.266981508,0.848344922,6.436250248,0.029830207,0.951596273,0.062043953,0.977311351,0,5.990312676,0.030194912,0.967876744,0.87564587,6.544811616,0.021393277,1.038541539,0.053320941,1.116777324,0,6.008695557,0.024079433,1.129909715,0.865890574,6.589568982
5/14/2012,-1.117504404,0.939615929,0.835301947,0.098700867,0.823900498,0.114828647,0.837215274,0,5.169490622,0.093773512,0.823254189,0.917026835,5.552021289,0.026833939,1.178884157,0.072041474,1.253319686,0,5.742336229,0.038986876,1.271753703,0.853843732,6.288935122,0.046221173,0.922788597,0.080715889,0.947399378,0,5.903777365,0.052616607,0.937257995,0.879667449,6.422423125,0.044459694,1.028700505,0.077769171,1.125843192,0,5.865385387,0.052852893,1.148078546,0.866219259,6.375288762
5/15/2012,-0.57624522,0.921968654,0.847706058,0.135019948,0.880797977,0.148850694,0.89709551,0,5.183091854,0.131682787,0.878683314,0.91480143,5.580676191,0.046384412,1.307533702,0.100505831,1.3993108,0,5.722720431,0.069178754,1.419541755,0.852560339,6.280868025,0.069213813,1.010528441,0.10869312,1.047230251,0,5.918711596,0.084011588,1.035810306,0.878051557,6.444256574,0.075748562,1.111265027,0.118977897,1.286036608,0,5.744708834,0.097156939,1.310983508,0.866359524,6.237504291
5/16/2012,-0.44135551,0.956071983,0.861187362,0.105254359,0.869505157,0.122110492,0.889707308,0,5.072358984,0.102300047,0.871072358,0.916718418,5.451663836,0.032011579,1.341795947,0.081263394,1.450090341,0,5.554847896,0.04852801,1.472002312,0.853366497,6.099419008,0.050915419,1.001434059,0.087946861,1.043726164,0,5.732997613,0.060568169,1.031880638,0.879066502,6.236843936,0.051080859,1.021006556,0.088767828,1.335162722,0,5.517597212,0.064606456,1.368027689,0.867376728,5.964305114
5/17/2012,-1.516574932,0.967801499,0.882068897,0.096543325,0.847026689,0.113594234,0.864155474,0,5.197981978,0.093727651,0.846657361,0.917678064,5.587861118,0.028800539,1.340024104,0.075173479,1.449601887,0,5.657248284,0.043395641,1.472197357,0.855540845,6.219989295,0.045357038,0.978239134,0.080876668,1.015585677,0,5.861647915,0.053812291,1.00350445,0.880590959,6.383927157,0.049104245,0.885165048,0.081700191,1.301223756,0,5.646947745,0.058032215,1.337593534,0.869639879,6.124904006
5/18/2012,-0.741519043,1.011237015,0.905686276,0.140413675,0.960248757,0.157658227,0.985384145,0,5.134749732,0.143599979,0.961051142,0.914825203,5.548561751,0.04841556,1.514958529,0.112102457,1.655999782,0,5.548291663,0.084567505,1.678462003,0.855023334,6.116849567,0.071316035,1.136199991,0.116883428,1.198710202,0,5.788388285,0.09502998,1.185908251,0.878563505,6.324409826,0.075349461,1.021471116,0.134508279,1.559630691,0,5.38409276,0.11721523,1.58490322,0.871828697,5.816634494
5/21/2012,1.59086692,1.01573011,0.934959139,0.10562095,0.956922891,0.122387218,0.978388122,0,5.26145001,0.103472372,0.954924663,0.913983049,5.689858843,0.035308047,1.541396486,0.085698593,1.693004014,0,5.609014286,0.055443848,1.717226369,0.855646177,6.184131616,0.050294177,1.134751408,0.088264729,1.193876538,0,5.916561199,0.062554099,1.181468163,0.878566386,6.463358413,0.054116284,0.999308541,0.096544606,1.49115446,0,5.474272454,0.072761195,1.516640307,0.872678284,5.917696056
5/22/2012,0.048620767,0.999922962,0.952293435,0.010100988,1.040008118,0.039141772,1.052400234,0,5.487286495,0.00981153,1.034742889,0.926677877,5.860501642,-0.023451722,1.399374437,0.007949334,1.502242175,0,5.888031138,-0.030246264,1.522185826,0.864102275,6.366560386,-0.00711224,1.099998122,0.017199609,1.143758724,0,6.153844118,-0.018050244,1.13548581,0.889909121,6.587670705,-0.0055184,0.971284816,-0.006133933,1.407434521,0,5.903266162,-0.042613011,1.426564075,0.884579449,6.249289875
5/23/2012,0.169228533,1.052111096,0.96821371,0.080277716,0.983920772,0.095841458,0.997598002,0,5.371318021,0.076368622,0.982576835,0.928657672,5.709860456,0.019240415,1.326929688,0.058432798,1.433075964,0,5.764687486,0.02738581,1.452851949,0.864940196,6.240059513,0.034699481,1.046170018,0.064505394,1.0829519,0,6.04207078,0.03821352,1.075692427,0.891193054,6.458022329,0.038063437,0.947578408,0.059349653,1.316094998,0,5.753553333,0.03396163,1.338719849,0.882062484,6.064586107
5/24/2012,0.137902838,1.067336961,0.986270461,0.075192249,0.93430874,0.092775478,0.950714758,0,5.239195402,0.071755708,0.936860616,0.928027193,5.573045401,0.016651331,1.244644313,0.056390986,1.346539202,0,5.644103748,0.023975948,1.368756181,0.867191884,6.07294696,0.03198644,0.996464241,0.062405435,1.028184155,0,5.897411889,0.034676977,1.021347557,0.891277501,6.288836773,0.036478083,0.899997067,0.058293232,1.173872131,0,5.517359812,0.030231737,1.183019802,0.886141859,5.756998781
5/25/2012,-0.216789928,1.033897238,0.996569345,0.076082809,0.888793527,0.09382383,0.902504537,0,5.314963161,0.072807906,0.890549459,0.926412818,5.66505731,0.018276494,1.170824376,0.05682942,1.258315519,0,5.745451319,0.025842364,1.281967569,0.867675561,6.192371159,0.032802746,0.951386664,0.063254009,0.974498722,0,5.99539005,0.035900761,0.968395187,0.890356964,6.40997337,0.037708404,0.870322607,0.060031431,1.063651192,0,5.678122546,0.032507876,1.071335955,0.886029544,5.945687731
5/29/2012,1.101798154,1.038957663,1.006503518,0.089240089,0.851077888,0.104904554,0.86444159,0,5.342345985,0.086283809,0.853077071,0.925536113,5.698903784,0.025428327,1.134628194,0.06637375,1.216863503,0,5.793366023,0.038323097,1.241274676,0.869469469,6.227273526,0.039637654,0.913958999,0.071691386,0.932709212,0,6.043259111,0.046793725,0.925997752,0.889849331,6.4636716,0.045467907,0.845919449,0.071695652,0.949082484,0,5.962982531,0.046443982,0.95565577,0.888606751,6.270745127
