Date,Abs_Ret,Realized_Ret,SvOLHC,SvOLHC_n10,sGARCH_norm_mu,sGARCH_norm_sigma,sGARCH_std_mu,sGARCH_std_sigma,sGARCH_std_skew,sGARCH_std_shape,sGARCH_sstd_mu,sGARCH_sstd_sigma,sGARCH_sstd_skew,sGARCH_sstd_shape,eGARCH_norm_mu,eGARCH_norm_sigma,eGARCH_std_mu,eGARCH_std_sigma,eGARCH_std_skew,eGARCH_std_shape,eGARCH_sstd_mu,eGARCH_sstd_sigma,eGARCH_sstd_skew,eGARCH_sstd_shape,gjrGARCH_norm_mu,gjrGARCH_norm_sigma,gjrGARCH_std_mu,gjrGARCH_std_sigma,gjrGARCH_std_skew,gjrGARCH_std_shape,gjrGARCH_sstd_mu,gjrGARCH_sstd_sigma,gjrGARCH_sstd_skew,gjrGARCH_sstd_shape,apARCH_norm_mu,apARCH_norm_sigma,apARCH_std_mu,apARCH_std_sigma,apARCH_std_skew,apARCH_std_shape,apARCH_sstd_mu,apARCH_sstd_sigma,apARCH_sstd_skew,apARCH_sstd_shape
10/16/2016,0.466303895,0.466303895,0.678196118,0.558337948,0.226321538,1.694277131,0.184164293,1.675800537,0,2.56647758,0.230099121,1.663357383,1.045752335,2.564047062,0.227894215,1.584321154,0.208052814,2.127846397,0,2.240859775,0.287427439,2.055633584,1.067505906,2.251357749,0.247053815,1.727643717,0.218502922,1.64419109,0,2.704568255,0.292857904,1.648221275,1.083664059,2.679322638,0.101095209,1.603185782,0.219558597,1.999873112,0,2.32261326,0.283714665,1.918712706,1.064032651,2.349595534
10/17/2016,0.380691054,-0.380691054,0.661468868,0.584541807,0.239832896,1.640475339,0.102688763,1.623207635,0,2.556867464,0.147631465,1.613150176,1.045249918,2.553471797,0.218483947,1.509587368,0.113269954,2.249949928,0,2.187083734,0.188295707,2.168827254,1.068512543,2.195227744,0.256521116,1.6728527,0.115189428,1.581638444,0,2.69107244,0.188957607,1.591456909,1.082761646,2.664510318,0.05155781,1.298607744,0.11654177,2.055228855,0,2.254893152,0.18568004,1.978572908,1.066699572,2.273744163
10/18/2016,0.193081263,-0.193081263,0.679743259,0.61224054,0.235886109,1.60942921,0.203565575,1.586902055,0,2.552010924,0.249732219,1.58244596,1.045633828,2.547872224,0.23468151,1.503704364,0.238578318,2.428460139,0,2.139843912,0.316094031,2.393285244,1.070429179,2.141521998,0.254558709,1.636385587,0.237819495,1.524381827,0,2.682926163,0.312017612,1.541221205,1.082891172,2.655544058,0.180756221,1.733982136,0.186132462,1.559439194,0,2.281631062,0.317516752,2.12688597,1.070620346,2.201727158
10/19/2016,1.173071325,-1.173071325,0.753596899,0.647651479,0.24141526,1.575518239,0.180592455,1.560190009,0,2.54374591,0.230617751,1.562580274,1.049982305,2.537723384,0.229890398,1.470759815,0.204647315,2.660997059,0,2.1027474,0.293722741,2.75577089,1.078324897,2.095393245,0.257100342,1.596555938,0.208314103,1.475398768,0,2.668323861,0.285614009,1.501721453,1.086786154,2.63774047,0.153503203,1.853701887,0.160607955,1.808050657,0,2.191883202,0.283445407,1.677069768,1.079091763,2.271221491
10/20/2016,0.053429721,0.053429721,0.743525041,0.681471352,0.222741712,1.629831971,0.288844337,1.645073344,0,2.53807979,0.339554096,1.655108735,1.04911534,2.531321404,0.240863206,1.610314011,0.327512684,2.757076009,0,2.100000316,0.420079402,3.051973038,1.073401655,2.079942647,0.240957407,1.629076366,0.343013651,1.464246443,0,2.666016286,0.420717338,1.494073037,1.086276841,2.634605748,0.045272583,1.693383996,0.289843904,2.234248409,0,2.142839248,0.419478565,1.952455254,1.074381366,2.20904624
10/21/2016,0.311946395,0.311946395,0.531960426,0.669702615,0.23253111,1.577140136,0.142685698,1.573659358,0,2.547697032,0.191771339,1.585406389,1.049403182,2.540362369,0.223642941,1.521414541,0.155017356,2.585725606,0,2.100000152,0.244561048,2.520546292,1.074889472,2.107275974,0.247275534,1.57960812,0.164678518,1.403397997,0,2.673471244,0.241703418,1.436677522,1.08672076,2.641155831,0.22920907,1.900738916,0.127463683,1.992786806,0,2.190029982,0.249081251,1.627645175,1.07652225,2.276994548
10/22/2016,3.793274872,3.793274872,0.734822327,0.678276514,0.235682228,1.529806695,0.114811574,1.513198051,0,2.552956725,0.159588587,1.523105529,1.045560392,2.545955202,0.220322334,1.428858254,0.125271691,2.450965914,0,2.100000167,0.215129288,2.85174389,1.074283254,2.072958256,0.249299869,1.534608445,0.129765417,1.349303164,0,2.677821396,0.202565294,1.381055696,1.082329267,2.647168544,0.015916388,1.42568972,0.094747979,1.906644359,0,2.154592009,0.216740083,1.989616747,1.073163875,2.14964363
10/23/2016,0.033936145,-0.033936145,0.769241094,0.689126518,0.283699538,2.059746706,-0.288606671,2.165959727,0,2.542718866,-0.239737108,2.145543407,1.05255189,2.535584703,0.172426102,1.995397797,-0.354533423,4.103316482,0,2.116641603,-0.268077924,4.104550277,1.078619242,2.107769455,0.288535644,2.104178456,-0.365054868,2.191629218,0,2.669819055,-0.284208608,2.180741059,1.090184873,2.638953773,-0.434673481,2.100236688,-0.353941962,2.973692116,0,2.162811339,-0.262358274,3.589212929,1.083914094,2.156553747
10/24/2016,0.505023483,-0.505023483,0.771685341,0.699645871,0.248270713,1.961232472,0.158832011,2.028096604,0,2.548114723,0.21139615,2.012600439,1.052388684,2.540849435,0.230711142,1.863226393,0.17476169,3.39047219,0,2.154177813,0.264885415,3.390804309,1.078465408,2.143426502,0.264104717,2.00642357,0.183262064,2.067798869,0,2.673129682,0.263852378,2.064976864,1.089860821,2.642530058,0.132225061,1.990763781,0.14203702,2.480970289,0,2.23506817,0.272437856,2.971991771,1.083435345,2.210665254
10/25/2016,0.583679443,0.583679443,0.843138559,0.716737793,0.242106487,1.894490891,0.210904891,1.940812162,0,2.546166291,0.262913297,1.934383444,1.051517211,2.538349651,0.234363601,1.834438902,0.237448723,3.721804438,0,2.109702568,0.340889713,4.200353419,1.08722937,2.080630892,0.258569827,1.934408178,0.247505049,1.964900451,0,2.669182514,0.327193792,1.972627789,1.088978375,2.638452563,0.12319196,2.07535256,0.20258885,2.409365903,0,2.228459944,0.350704175,3.545292812,1.092577307,2.121454066
